ID,apiFieldName,description
e0000000-0000-0000-0000-000000000001,Lockbox,Lockbox number
e0000000-0000-0000-0000-000000000002,CompanyCode,SAP company code
e0000000-0000-0000-0000-000000000003,LockboxBatchDestination,Lockbox batch destination
e0000000-0000-0000-0000-000000000004,LockboxBatchOrigin,Lockbox batch origin
e0000000-0000-0000-0000-000000000005,DepositDateTime,Deposit date and time
e0000000-0000-0000-0000-000000000006,IncomingPaymentFile,Incoming payment file reference
e0000000-0000-0000-0000-000000000007,NumberOfItems,Number of items in the lockbox batch
e0000000-0000-0000-0000-000000000008,Currency,Transaction currency
e0000000-0000-0000-0000-000000000009,NumberOfIncompleteCheques,Number of incomplete cheques
e0000000-0000-0000-0000-000000000010,ValueDate,Value date of the item
e0000000-0000-0000-0000-000000000011,AmountInTransactionCurrency,Amount in transaction currency
e0000000-0000-0000-0000-000000000012,Cheque,Cheque number
e0000000-0000-0000-0000-000000000013,PartnerBankCountry,Partner bank country
e0000000-0000-0000-0000-000000000014,PartnerBank,Partner bank key
e0000000-0000-0000-0000-000000000015,PartnerBankAccount,Partner bank account
e0000000-0000-0000-0000-000000000016,BankLedgerDocument,Bank ledger document number
e0000000-0000-0000-0000-000000000017,Customer,Customer number
e0000000-0000-0000-0000-000000000018,MemoLine1,Memo line 1
e0000000-0000-0000-0000-000000000019,MemoLine,Memo line
e0000000-0000-0000-0000-000000000020,PaymentAdvice,Payment advice number
e0000000-0000-0000-0000-000000000021,AssignmentReference,Assignment reference
e0000000-0000-0000-0000-000000000022,DocumentItemText,Document item text
e0000000-0000-0000-0000-000000000023,DocumentReferenceID,Document reference ID
e0000000-0000-0000-0000-000000000024,PaymentManualTransacType,Payment manual transaction type
e0000000-0000-0000-0000-000000000025,FiscalYear,Fiscal year
e0000000-0000-0000-0000-000000000026,PaymentAdviceItem,Payment advice item
e0000000-0000-0000-0000-000000000027,PaymentAdviceAccount,Payment advice account
e0000000-0000-0000-0000-000000000028,PaymentAdviceAccountType,Payment advice account type
e0000000-0000-0000-0000-000000000029,PaymentReference,Payment reference number
e0000000-0000-0000-0000-000000000030,NetPaymentAmountInPaytCurrency,Net payment amount in payment currency
e0000000-0000-0000-0000-000000000031,DeductionAmountInPaytCurrency,Deduction amount in payment currency
e0000000-0000-0000-0000-000000000032,PaymentDifferenceReason,Payment difference reason code
e0000000-0000-0000-0000-000000000033,SalesOrder,Sales order number
